,index,ecm_around_single_spot,ecm_around_single_spot bg subtracted,ecm_around_single_spot_mean_intensity,ecm_around_single_spot_mean_intensity bg subtracted,exp condition,filename,mean_intensty_original_synapse,mean_intensty_original_synapse bg subtracted,original_synapse_at_single_spot,original_synapse_at_single_spot bg subtracted,"Synapse brightness scale (0 = dimmest, 7 = brightest)",radial_average,radial_average_bgsubtracted,Time,Drug,Condition,"Synapse brightness scale (0 = dimmest, 5 = brightest)"
0,716,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.00390353]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.00390353 0.         ... 0.         0.         0.        ]]",0.1264,0.0004936532549019608,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_005_ExpControl,14.2878,0.026636773137254908,"[[0 0 0 ... 3 3 4]
 [0 0 0 ... 8 7 5]
 [0 0 0 ... 7 8 6]
 ...
 [1 0 1 ... 0 3 2]
 [0 1 1 ... 3 3 1]
 [0 1 0 ... 4 3 2]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2,"[0.08928571 0.105      0.13970588 0.09659091 0.10909091 0.11523438
 0.09589041 0.13554217 0.14516129 0.12623762 0.13486842 0.18032787
 0.14907407 0.11058824 0.09892086 0.11029412 0.06985294 0.1
 0.08333333 0.        ]","[0.00034853 0.00040996 0.00054535 0.0003772  0.00042596 0.00044989
 0.00037437 0.00052926 0.00056693 0.00049306 0.00052676 0.00070465
 0.00058232 0.0004319  0.00038634 0.00043054 0.00027267 0.00039035
 0.00032529 0.        ]",4hrs,DMSO,4hr,2
1,1557,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 2 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 1 0 0]
 [0 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.0077102  0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.00378863 0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0.1666,0.0006357053333333333,12hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/12hrs_DMSO/03_003_ExpControl,1.711,0.003740363843137255,"[[0 4 4 ... 0 0 0]
 [1 4 5 ... 0 0 0]
 [2 1 3 ... 0 1 1]
 ...
 [0 0 0 ... 3 0 2]
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]]","[[0.         0.00979961 0.00979961 ... 0.         0.         0.        ]
 [0.         0.00979961 0.01372118 ... 0.         0.         0.        ]
 [0.00195647 0.         0.00587804 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.00587804 0.         0.00195647]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0,"[0.28571429 0.235      0.22794118 0.16477273 0.17272727 0.22070312
 0.14383562 0.1310241  0.11290323 0.12252475 0.12719298 0.13831967
 0.21388889 0.18470588 0.20683453 0.16666667 0.18014706 0.15625
 0.05       0.        ]","[0.0010884  0.00089897 0.00086994 0.00062615 0.00065863 0.00084655
 0.00054767 0.0004974  0.00042828 0.00046585 0.00048422 0.00052799
 0.00082069 0.00070479 0.00078912 0.000636   0.00068691 0.0005928
 0.00019165 0.        ]",12hrs,DMSO,12hr,0
2,501,"[[0 0 0 ... 0 0 1]
 [0 0 0 ... 0 2 0]
 [0 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 1 1]
 [1 1 0 ... 0 0 0]
 [2 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.00384392]
 [0.         0.         0.         ... 0.         0.00776549 0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00384392 0.         0.         ... 0.         0.00384392 0.00384392]
 [0.00384392 0.00384392 0.         ... 0.         0.         0.        ]
 [0.00776549 0.         0.         ... 0.         0.         0.        ]]",0.177,0.0006823929411764705,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_001_ExpControl,6.4526,0.010821176,"[[1 2 0 ... 2 2 4]
 [0 0 0 ... 1 2 1]
 [0 0 0 ... 1 0 3]
 ...
 [1 4 2 ... 1 2 6]
 [0 1 1 ... 8 5 3]
 [0 3 0 ... 1 4 4]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.00683216 0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",1,"[0.16964286 0.125      0.16911765 0.15909091 0.2        0.22851562
 0.22773973 0.31325301 0.22043011 0.16584158 0.13596491 0.13729508
 0.16481481 0.16       0.13669065 0.1372549  0.16911765 0.0875
 0.25       0.        ]","[0.00065279 0.00048127 0.00065036 0.00061418 0.0007702  0.00088128
 0.0008794  0.00121289 0.00085107 0.00063873 0.00052332 0.00052839
 0.00063476 0.0006164  0.00052585 0.00052836 0.0006515  0.00033634
 0.00096486 0.        ]",4hrs,DMSO,4hr,0
3,1054,"[[0 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 4 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0.         0.         0.00371882 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.01548353 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0.1946,0.0007334350980392157,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_Bic/06_005_ExpControl,2.491,0.00638221137254902,"[[0 1 0 ... 1 0 1]
 [0 0 0 ... 3 2 0]
 [1 0 3 ... 0 0 1]
 ...
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 0 1]
 [0 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.00317059 0.         0.        ]
 [0.         0.         0.00317059 ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0,"[0.07142857 0.105      0.11397059 0.15625    0.13636364 0.09570312
 0.10787671 0.13403614 0.12903226 0.17450495 0.16666667 0.16393443
 0.16944444 0.22117647 0.48920863 0.48039216 0.4375     0.31875
 0.18333333 0.        ]","[0.00026563 0.00039048 0.00042682 0.00058683 0.00050849 0.0003559
 0.00040152 0.00050029 0.00048312 0.00065397 0.00062269 0.00061214
 0.0006352  0.00083206 0.00187762 0.00183519 0.001665   0.00120945
 0.00069868 0.        ]",4hrs,Bic,4hr + Bic,0
4,770,"[[0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 1 0 ... 0 1 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.00379412 0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.00379412 0.         ... 0.         0.00379412 0.        ]]",0.1948,0.0007436950980392158,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/08_002_ExpControl,11.0805,0.021741289098039216,"[[0 0 1 ... 1 2 3]
 [0 3 1 ... 1 0 1]
 [0 0 1 ... 1 1 1]
 ...
 [2 0 1 ... 0 0 0]
 [0 1 4 ... 1 0 0]
 [3 2 1 ... 2 1 0]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",2,"[0.20535714 0.195      0.25       0.19602273 0.2        0.22460938
 0.26883562 0.18975904 0.14650538 0.1509901  0.16666667 0.22438525
 0.28611111 0.19411765 0.13669065 0.11764706 0.11397059 0.11875
 0.1        0.        ]","[0.00078143 0.00074304 0.00095181 0.00074699 0.00076056 0.00085668
 0.00102807 0.00072342 0.00055757 0.00057492 0.00063515 0.00085813
 0.00110041 0.00074025 0.00052045 0.00044699 0.00043289 0.00045055
 0.00037941 0.        ]",4hrs,DMSO,4hr,1
5,2034,"[[0 1 1 ... 0 0 0]
 [0 0 2 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 [0 0 1 ... 0 0 0]]","[[0.         0.00383294 0.00383294 ... 0.         0.         0.        ]
 [0.         0.         0.00775451 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00383294 ... 0.         0.         0.        ]
 [0.         0.         0.00383294 ... 0.         0.         0.        ]]",0.202,0.000776797725490196,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/4hrs_DMSO/07_003_ExpControl,1.2455,0.0031991178039215687,"[[0 1 1 ... 0 0 0]
 [0 0 2 ... 0 0 0]
 [1 1 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00369569 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0,"[0.13392857 0.185      0.19485294 0.19602273 0.18409091 0.20703125
 0.23458904 0.18524096 0.1733871  0.17945545 0.21600877 0.22540984
 0.23518519 0.20352941 0.16906475 0.21078431 0.19852941 0.1875
 0.2        0.        ]","[0.00051413 0.00071131 0.00074881 0.00075311 0.00070682 0.00079596
 0.00090266 0.00071149 0.00066613 0.00068993 0.00082999 0.00086716
 0.00090547 0.00078324 0.00065057 0.00081053 0.00076486 0.00072145
 0.00076954 0.        ]",4hrs,DMSO,4hr,0
6,1000,"[[1 0 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 0 0]]","[[0.00373804 0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.00373804 ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.00373804]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0.2093,0.0007898596078431372,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_Bic/06_002_ExpControl,2.9521,0.006398517450980392,"[[0 0 0 ... 2 0 1]
 [0 2 0 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 ...
 [0 0 1 ... 1 0 0]
 [0 0 0 ... 1 1 0]
 [1 0 0 ... 1 0 0]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]",0,"[0.54464286 0.465      0.36764706 0.43181818 0.30681818 0.32226562
 0.30479452 0.28012048 0.22311828 0.17079208 0.16776316 0.16188525
 0.12592593 0.13176471 0.12410072 0.07598039 0.09926471 0.075
 0.05       1.        ]","[0.00206867 0.00175654 0.0013925  0.00163397 0.00115691 0.00121826
 0.00115379 0.00106037 0.00084266 0.00064138 0.00063193 0.00061077
 0.00047411 0.00049492 0.00046521 0.00028492 0.00037375 0.00028265
 0.0001869  0.00373804]",4hrs,Bic,4hr + Bic,0
7,2394,"[[2 0 1 ... 1 0 0]
 [0 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 0 1]
 [1 0 0 ... 0 0 0]]","[[0.00775725 0.         0.00383569 ... 0.00383569 0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.00383569 0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.00383569]
 [0.         0.         0.         ... 0.         0.         0.00383569]
 [0.00383569 0.         0.         ... 0.         0.         0.        ]]",0.2107,0.0008113138039215686,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/4hrs_Bic/05_002_ExpControl,2.7891,0.005936713882352941,"[[2 0 0 ... 0 0 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 1 0 1]
 [0 0 0 ... 2 0 0]
 [0 0 0 ... 1 3 1]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.00167098 0.        ]]",0,"[0.28571429 0.295      0.35294118 0.33238636 0.37954545 0.36328125
 0.26369863 0.19277108 0.17204301 0.17821782 0.18311404 0.17110656
 0.16388889 0.14235294 0.19604317 0.17156863 0.16544118 0.15625
 0.16666667 2.        ]","[0.00110051 0.00113625 0.00136135 0.00128176 0.00146636 0.00140366
 0.00101529 0.00074187 0.00066233 0.00068476 0.00070406 0.00065939
 0.00063053 0.00054632 0.00075397 0.00065935 0.00063553 0.00059986
 0.00063928 0.00775725]",4hrs,Bic,4hr + Bic,0
8,2494,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [0 0 0 ... 0 0 0]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.00375216 0.        ]
 [0.         0.         0.         ... 0.         0.00375216 0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.00375216 0.00375216]
 [0.         0.         0.         ... 0.         0.         0.        ]]",0.2165,0.0008201349019607843,4hrs_Bic,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181011_TNR_analyse/TIF_imp/4hrs_Bic/06_004_ExpControl,3.1146,0.006147338196078431,"[[0 0 0 ... 3 1 1]
 [0 0 0 ... 3 0 1]
 [0 0 0 ... 4 2 1]
 ...
 [0 0 0 ... 3 0 0]
 [0 0 0 ... 5 1 1]
 [0 0 0 ... 1 4 0]]","[[0.         0.         0.         ... 0.00044431 0.         0.        ]
 [0.         0.         0.         ... 0.00044431 0.         0.        ]
 [0.         0.         0.         ... 0.00436588 0.         0.        ]
 ...
 [0.         0.         0.         ... 0.00044431 0.         0.        ]
 [0.         0.         0.         ... 0.00828745 0.         0.        ]
 [0.         0.         0.         ... 0.         0.00436588 0.        ]]",0,"[0.82142857 0.83       0.84926471 0.57670455 0.30227273 0.22070312
 0.18493151 0.14909639 0.12903226 0.13613861 0.12171053 0.14241803
 0.15555556 0.16117647 0.1618705  0.17892157 0.17647059 0.1125
 0.13333333 0.        ]","[0.00313961 0.00317274 0.00324699 0.00219517 0.00114303 0.00083341
 0.00069737 0.00056096 0.00048552 0.00051312 0.00045872 0.0005368
 0.00058712 0.00060954 0.00061498 0.00067383 0.00066713 0.00042318
 0.00050029 0.        ]",4hrs,Bic,4hr + Bic,0
9,694,"[[0 0 0 ... 0 0 0]
 [1 0 1 ... 0 0 0]
 [0 0 1 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0.     0.     0.     ... 0.     0.     0.    ]
 [0.0037 0.     0.0037 ... 0.     0.     0.    ]
 [0.     0.     0.0037 ... 0.     0.     0.    ]
 ...
 [0.     0.     0.     ... 0.     0.     0.    ]
 [0.     0.     0.     ... 0.     0.     0.    ]
 [0.     0.     0.     ... 0.     0.     0.    ]]",0.2199,0.0008244425490196079,4hrs_DMSO,/Volumes/ukps-all$/user/tdanko/Imaging/1_ECM/Culture/Gabriels_experiments_STED/20181002_TNR_analyse/TIF_imp/4hrs_DMSO/07_005_ExpControl,10.0098,0.019728196078431376,"[[ 2  2  1 ...  7 14 17]
 [ 1  0  3 ... 14 19 12]
 [ 1  9  3 ...  9  7  7]
 ...
 [ 8  6  3 ...  2  0  0]
 [ 6  2  3 ...  1  2  1]
 [ 5  4  3 ...  0  0  1]]","[[0.         0.         0.         ... 0.         0.01664706 0.02841176]
 [0.         0.         0.         ... 0.01664706 0.0362549  0.00880392]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]",1,"[0.14285714 0.105      0.11029412 0.13068182 0.15909091 0.28515625
 0.32876712 0.28463855 0.24865591 0.32673267 0.21929825 0.21004098
 0.19907407 0.21294118 0.18345324 0.15931373 0.16911765 0.1
 0.08333333 0.        ]","[0.00052857 0.0003885  0.00041053 0.00048478 0.00059367 0.00107801
 0.001243   0.00106918 0.00093075 0.0012388  0.00081918 0.00078464
 0.00074273 0.00079596 0.00068515 0.00059489 0.00062899 0.00037138
 0.00030833 0.        ]",4hrs,DMSO,4hr,1
